,name,H,e,a
433,00434,11.2,0.0737423,1.9441042000000002
1018,01019,12.5,0.0712245,1.9114879
1024,01025,12.5,0.0392931,1.9791671000000002
1102,01103,12.1,0.09450349999999999,1.933919
1138,01139,12.51,0.2558077,1.9472842000000001
1220,01221,17.7,0.43532070000000006,1.9194158
1234,01235,12.68,0.1548134,1.9102203000000002
1354,01355,12.9,0.0448596,1.8533962
1452,01453,12.6,0.0282627,1.8969166000000002
1508,01509,12.6,0.0323929,1.8662994
1599,01600,12.6,0.0373574,1.8488058
1626,01627,13.2,0.3966132,1.8634814999999998
1655,01656,12.8,0.12337089999999998,1.8774928
1726,01727,12.6,0.10176289999999999,1.8542008
1749,01750,14.2,0.17275620000000003,1.9265398999999999
1865,01866,12.4,0.5380639,1.8939716
1875,01876,15.1,0.047836199999999995,1.9643837
1918,01919,13.7,0.09475589999999999,1.9362949
1919,01920,14.0,0.1054605,1.9302505
2000,02001,13.0,0.09871239999999999,1.9335394000000001
2034,02035,12.4,0.13156099999999998,1.8839015
2046,02047,14.1,0.0033344,1.8720883000000001
2047,02048,13.3,0.0425229,1.9535692999999998
2048,02049,15.0,0.08413510000000002,1.9492846999999998
2073,02074,14.0,0.0819687,1.7996533
2082,02083,13.1,0.0514523,1.8718723000000002
2100,02101,18.8,0.7644229,1.8742301
2130,02131,12.6,0.111019,1.8873593999999998
2149,02150,13.2,0.0571871,1.9132737000000002
2271,02272,13.7,0.0902318,1.8666128
2448,02449,14.26,0.1682825,1.9089255
2490,02491,13.5,0.0544206,1.8776423
2494,02495,15.2,0.1023471,1.9176543000000001
2576,02577,13.18,0.1379756,1.9044459999999999
2734,02735,14.4,0.0550149,1.8568628
3021,03022,14.1,0.10395360000000001,1.9309218000000001
3039,03040,13.8,0.2004028,1.8406646
3042,03043,13.7,0.106402,1.9267807000000001
3085,03086,13.4,0.026575400000000002,1.9356488999999997
3100,03101,14.1,0.0464856,1.9789167
3168,03169,12.7,0.066817,1.891868
3224,03225,13.2,0.052864499999999995,1.8798714
3265,03266,12.9,0.11038800000000001,1.9082171
3308,03309,13.7,0.0533885,1.8175141
3351,03352,15.8,0.36920759999999997,1.8788618000000001
3352,03353,13.7,0.0847227,1.8628368999999998
3399,03400,15.8,0.09870219999999999,1.9353096999999997
